Env,Layer,System,Host_or_Endpoint,Host_Type,Host_Seq,Zone,Component,Direction,Protocol_Port,Hosting,Sizing_RAM,Sizing_CPU,Sizing_Storage_or_Capacity,Growth,Project,Status_or_Notes,Endpoint_Group
DEV,External API,SEI SaaS SWP Desktop,SWP desktop UI - user SSO via PingFederate,Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Users connect direct - SSO BBH to SEI,SWP desktop UI - user SSO via PingFederate
SIT,Platform,CP Integration Hub,OCPQ shared OpenShift cluster - RD SIT namespace,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Bidirectional,TBD,BBH OpenShift,4 GB,2,10GB,TBD,SEI,SIT mapped to RD,OCPQ shared OpenShift cluster - RD SIT namespace
SIT,File System,CPHUB Landing Share,\\rdwebfs.testbbh.com\cphub$,Descriptive,1 of 1,APPLICATION,FILE_SHARE,Internal,TBD,BBH,Not Applicable,Not Applicable,20GB,TBD,SEI,DEV and SIT folder separation TBD,\\rdwebfs.testbbh.com\cphub$
SIT,Database,IMDS,qblimdsdb.testbbh.com,Hostname,1 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI SIT environment,qblimdsdb.testbbh.com; qblimdsapp.testbbh.com
SIT,Database,IMDS,qblimdsapp.testbbh.com,Hostname,2 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI SIT environment,qblimdsdb.testbbh.com; qblimdsapp.testbbh.com
SIT,Database,PBDW,QALPBDB3.testbbh.com,Hostname,1 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI SIT environment,QALPBDB3.testbbh.com; qalodiapp3sei.testbbh.com; qalodidb3sei.testbbh.com
SIT,Database,PBDW,qalodiapp3sei.testbbh.com,Hostname,2 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI SIT environment,QALPBDB3.testbbh.com; qalodiapp3sei.testbbh.com; qalodidb3sei.testbbh.com
SIT,Database,PBDW,qalodidb3sei.testbbh.com,Hostname,3 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI SIT environment,QALPBDB3.testbbh.com; qalodiapp3sei.testbbh.com; qalodidb3sei.testbbh.com
SIT,Consumer,Pivotal,QCWPIVAPMTRSEI.testbbh.com,Hostname,1 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAPMTRSEI.testbbh.com; QCWPIVSEIDB6.testbbh.com; QCWPIVINTSEI1.testbbh.com
SIT,Consumer,Pivotal,QCWPIVSEIDB6.testbbh.com,Hostname,2 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAPMTRSEI.testbbh.com; QCWPIVSEIDB6.testbbh.com; QCWPIVINTSEI1.testbbh.com
SIT,Consumer,Pivotal,QCWPIVINTSEI1.testbbh.com,Hostname,3 of 3,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAPMTRSEI.testbbh.com; QCWPIVSEIDB6.testbbh.com; QCWPIVINTSEI1.testbbh.com
SIT,Consumer,CRD,Azure-hosted vendor application,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Vendor Azure,Vendor Managed,Vendor Managed,Vendor Managed,TBD,SEI,CRD sizing TBD,Azure-hosted vendor application
SIT,Consumer,Client Portal,rdltasap235.testbbh.com,Hostname,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12 GB,2,350 GB,TBD,SEI,New SEI SIT host,rdltasap235.testbbh.com
SIT,Consumer,PORT,New PORT test instance,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Bloomberg vendor,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,SEI,Smaller than production limits,New PORT test instance
SIT,Platform,Momentum MFT,Momentum MFT engine,Descriptive,1 of 1,DMZ,DATA_MOVEMENT,Internal,TBD,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SHARED,Moves drop zone to landing - rename-atomic,Momentum MFT engine
SIT,Platform,PingFederate,ping-idp-01.bbh.com,Hostname,1 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
SIT,Platform,PingFederate,ping-idp-02.bbh.com,Hostname,2 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
SIT,Platform,OCP Ingress,ocpq router - ops/admin route only,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Inbound,HTTPS 443,BBH OpenShift,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Operations access only - users never traverse hub,ocpq router - ops/admin route only
SIT,Platform,Observability Stack,Splunk HEC,Service,1 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
SIT,Platform,Observability Stack,Vault,Service,2 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
SIT,Platform,Observability Stack,OIDC,Service,3 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
SIT,External API,SEI API Proxy Egress,192.200.8.0/24,IP/CIDR,1 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
SIT,External API,SEI API Proxy Egress,192.200.5.0/24,IP/CIDR,2 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
SIT,External API,SEI API Proxy Egress,204.136.26.0/24,IP/CIDR,3 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
SIT,External SFTP,SEI to BBH SFTP,qcsecureftp.bbh.com,Hostname,1 of 1,DMZ,DATA_MOVEMENT,Inbound,SFTP 22,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,SEI source IPs whitelisted by BBH,qcsecureftp.bbh.com
SIT,External API,SEI SWP Platform,SEI batch + api endpoints (vendor side),Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Inbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Vendor platform - no BBH control,SEI batch + api endpoints (vendor side)
SIT,External API,SEI SaaS SWP Desktop,SWP desktop UI - user SSO via PingFederate,Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Users connect direct - SSO BBH to SEI,SWP desktop UI - user SSO via PingFederate
TRIAL_UAT,Platform,CP Integration Hub,OCPQ shared OpenShift cluster - QC namespace,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Bidirectional,TBD,BBH OpenShift,4 GB,2,10GB,TBD,SEI,Trial/UAT mapped to QC,OCPQ shared OpenShift cluster - QC namespace
TRIAL_UAT,File System,CPHUB Landing Share,\\qcwebfs.testbbh.com\cphub$,Descriptive,1 of 1,APPLICATION,FILE_SHARE,Internal,TBD,BBH,Not Applicable,Not Applicable,20GB,TBD,SEI,QC regional landing share,\\qcwebfs.testbbh.com\cphub$
TRIAL_UAT,Database,IMDS,rdlimdsdb.testbbh.com,Hostname,1 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI Trial/UAT environment,rdlimdsdb.testbbh.com; rdlimdsapp.testbbh.com
TRIAL_UAT,Database,IMDS,rdlimdsapp.testbbh.com,Hostname,2 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62 GB,8,6 TB,Minimal Growth,SEI,New SEI Trial/UAT environment,rdlimdsdb.testbbh.com; rdlimdsapp.testbbh.com
TRIAL_UAT,Database,PBDW,QCLPBDB3.testbbh.com,Hostname,1 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI Trial/UAT environment,QCLPBDB3.testbbh.com; qclodiapp3sei.testbbh.com; qclodidb3sei.testbbh.com
TRIAL_UAT,Database,PBDW,qclodiapp3sei.testbbh.com,Hostname,2 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI Trial/UAT environment,QCLPBDB3.testbbh.com; qclodiapp3sei.testbbh.com; qclodidb3sei.testbbh.com
TRIAL_UAT,Database,PBDW,qclodidb3sei.testbbh.com,Hostname,3 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62 GB,8,4 TB,Minimal Growth,SEI,New SEI Trial/UAT environment,QCLPBDB3.testbbh.com; qclodiapp3sei.testbbh.com; qclodidb3sei.testbbh.com
TRIAL_UAT,Consumer,Pivotal,QCWPIVAUPGSEI1.testbbh.com,Hostname,1 of 5,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com
TRIAL_UAT,Consumer,Pivotal,QCWPIVAUPGSEI2.testbbh.com,Hostname,2 of 5,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com
TRIAL_UAT,Consumer,Pivotal,QCWPIVSEIDB4.testbbh.com,Hostname,3 of 5,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com
TRIAL_UAT,Consumer,Pivotal,QCWPIVSEIDB5.testbbh.com,Hostname,4 of 5,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com
TRIAL_UAT,Consumer,Pivotal,QCWPIVINTSEI2.testbbh.com,Hostname,5 of 5,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,SEI,Sizing populated as supplied,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com
TRIAL_UAT,Consumer,CRD,Azure-hosted vendor application,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Vendor Azure,Vendor Managed,Vendor Managed,TBD,TBD,SEI,CRD sizing TBD,Azure-hosted vendor application
TRIAL_UAT,Consumer,Client Portal,qcltasap235.testbbh.com,Hostname,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,BBH RHEL,12 GB,2,350 GB,TBD,SEI,New SEI Trial/UAT host,qcltasap235.testbbh.com
TRIAL_UAT,Consumer,PORT,New PORT test instance,Descriptive,1 of 1,APPLICATION,CONSUMERS,Outbound,TBD,Bloomberg vendor,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,SEI,Smaller than production limits,New PORT test instance
TRIAL_UAT,Platform,Momentum MFT,Momentum MFT engine,Descriptive,1 of 1,DMZ,DATA_MOVEMENT,Internal,TBD,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SHARED,Moves drop zone to landing - rename-atomic,Momentum MFT engine
TRIAL_UAT,Platform,PingFederate,ping-idp-01.bbh.com,Hostname,1 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
TRIAL_UAT,Platform,PingFederate,ping-idp-02.bbh.com,Hostname,2 of 2,CORP,IDENTITY,Bidirectional,HTTPS 443,BBH,TBD,TBD,TBD,TBD,SHARED,User SSO to SWP desktop; SAML/OIDC federation to SEI,ping-idp-01.bbh.com; ping-idp-02.bbh.com
TRIAL_UAT,Platform,OCP Ingress,ocpq router - ops/admin route only,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Inbound,HTTPS 443,BBH OpenShift,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Operations access only - users never traverse hub,ocpq router - ops/admin route only
TRIAL_UAT,Platform,Observability Stack,Splunk HEC,Service,1 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
TRIAL_UAT,Platform,Observability Stack,Vault,Service,2 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
TRIAL_UAT,Platform,Observability Stack,OIDC,Service,3 of 3,CORP,IDENTITY,Internal,8088,BBH,TBD,TBD,TBD,TBD,SHARED,Hub telemetry and secrets,Splunk HEC; Vault; OIDC
TRIAL_UAT,External API,SEI API Proxy Egress,192.200.8.0/24,IP/CIDR,1 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
TRIAL_UAT,External API,SEI API Proxy Egress,192.200.5.0/24,IP/CIDR,2 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
TRIAL_UAT,External API,SEI API Proxy Egress,204.136.26.0/24,IP/CIDR,3 of 3,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,BBH to SEI,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,IP ranges to be whitelisted by SEI,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24
TRIAL_UAT,External SFTP,SEI to BBH SFTP,qcsecureftp.bbh.com,Hostname,1 of 1,DMZ,DATA_MOVEMENT,Inbound,SFTP 22,BBH MFT,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,SEI source IPs whitelisted by BBH,qcsecureftp.bbh.com
TRIAL_UAT,External API,SEI SWP Platform,SEI batch + api endpoints (vendor side),Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Inbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Vendor platform - no BBH control,SEI batch + api endpoints (vendor side)
TRIAL_UAT,External API,SEI SaaS SWP Desktop,SWP desktop UI - user SSO via PingFederate,Descriptive,1 of 1,UNTRUSTED,EXTERNAL,Outbound,HTTPS 443,Vendor SaaS,Not Applicable,Not Applicable,Not Applicable,TBD,SEI,Users connect direct - SSO BBH to SEI,SWP desktop UI - user SSO via PingFederate
PROD,Platform,CP Integration Hub,Production OpenShift cluster and namespace TBD,Descriptive,1 of 1,APPLICATION,INTEGRATION_HUB,Bidirectional,TBD,BBH OpenShift,16GB,16,25GB,TBD,SEI,Production platform details TBD,Production OpenShift cluster and namespace TBD
PROD,File System,CPHUB Landing Share,Production cphub share TBD,Descriptive,1 of 1,APPLICATION,FILE_SHARE,Internal,TBD,BBH,Not Applicable,Not Applicable,20GB,TBD,SEI,Production share TBD,Production cphub share TBD
PROD,Database,IMDS,njlimdsdb.bbh.com,Hostname,1 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62GB,8,6TB,TBD,SEI,Production sizing TBD,njlimdsdb.bbh.com; njlimdsapp.bbh.com
PROD,Database,IMDS,njlimdsapp.bbh.com,Hostname,2 of 2,DATA,DATA_HUB,Internal,Oracle JDBC port TBD,BBH,62GB,8,6TB,TBD,SEI,Production sizing TBD,njlimdsdb.bbh.com; njlimdsapp.bbh.com
PROD,Database,PBDW,njlpbdb3.bbh.com,Hostname,1 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62GB,8,6TB,TBD,SEI,Production sizing TBD,njlpbdb3.bbh.com; njlodiapp3sei.bbh.com; njlodidb3sei.bbh.com
PROD,Database,PBDW,njlodiapp3sei.bbh.com,Hostname,2 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62GB,8,6TB,TBD,SEI,Production sizing TBD,njlpbdb3.bbh.com; njlodiapp3sei.bbh.com; njlodidb3sei.bbh.com
PROD,Database,PBDW,njlodidb3sei.bbh.com,Hostname,3 of 3,DATA,DATA_HUB,Internal,TBD,BBH,62GB,8,6TB,TBD,SEI,Production sizing TBD,njlpbdb3.bbh.com; njlodiapp3sei.bbh.com; njlodidb3sei.bbh.com
PROD,Consumer,Pivotal,NJWPIVCRMINT.bbh.com,Hostname,1 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
PROD,Consumer,Pivotal,NJWPIVCRMMKT.bbh.com,Hostname,2 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
PROD,Consumer,Pivotal,NJWPIVCRM1.bbh.com,Hostname,3 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
PROD,Consumer,Pivotal,NJWPIVCRM2.bbh.com,Hostname,4 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
PROD,Consumer,Pivotal,NJWPIVCRMUX1.bbh.com,Hostname,5 of 6,APPLICATION,CONSUMERS,Outbound,TBD,BBH,16GB,4,100GB,TBD,SEI,Production sizing TBD,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com
